Date,Open,High,Low,Close,Adj Close,Volume
2017-08-17,44.568764,44.916183,44.022823,44.568764,44.568764,184218
2017-08-18,44.618397,44.668026,42.782043,43.377617,43.377617,159780
2017-08-21,43.377617,43.675404,42.434624,42.732410,42.732410,208121
2017-08-22,48.539257,50.127453,46.305855,46.752537,46.752537,1877889
2017-08-23,47.149586,47.149586,43.923561,44.866550,44.866550,715739
2017-08-24,44.866550,46.107330,44.171715,44.916183,44.916183,452434
2017-08-28,45.164337,46.951057,45.015446,46.653271,46.653271,605078
2017-08-29,47.149586,49.780033,47.099953,47.447372,47.447372,1690991
2017-08-30,48.390362,48.539257,47.199215,47.447372,47.447372,514894
2017-08-31,47.546635,48.985935,47.000690,47.844421,47.844421,439348
2017-09-01,48.092575,49.531879,47.745155,48.439995,48.439995,552804
2017-09-04,48.142208,49.035568,46.156960,47.298477,47.298477,534090
2017-09-05,47.645893,48.439995,47.000690,47.348106,47.348106,321052
2017-09-06,47.596264,48.837044,47.348106,48.191837,48.191837,484630
2017-09-07,48.886673,52.609009,48.787411,51.070442,51.070442,2305174
2017-09-08,51.616386,52.211960,49.134830,49.680771,49.680771,671352
2017-09-11,51.070442,51.467491,50.177082,50.425240,50.425240,573152
2017-09-12,51.814911,52.956429,51.219337,51.765282,51.765282,1122275
2017-09-13,52.112698,52.211960,49.531879,49.780033,49.780033,675899
2017-09-14,50.226715,50.325977,48.539257,49.184460,49.184460,388546
2017-09-15,48.439995,49.432617,47.645893,48.092575,48.092575,470638
2017-09-18,49.333355,52.360855,48.042946,52.013435,52.013435,1593053
2017-09-19,52.857166,54.494991,52.162331,52.460117,52.460117,1729061
2017-09-20,52.757904,52.807533,51.020813,51.219337,51.219337,446424
2017-09-21,51.566753,51.963806,49.879295,50.871918,50.871918,559129
2017-09-22,50.127453,50.375607,48.340733,48.588886,48.588886,664365
2017-09-25,48.737782,48.737782,45.958435,46.603642,46.603642,434372
2017-09-26,46.702904,47.596264,46.206593,46.951057,46.951057,336804
2017-09-27,47.596264,48.588886,46.156960,46.355488,46.355488,550527
2017-09-28,46.256222,47.298477,46.206593,47.099953,47.099953,267057
2017-09-29,47.596264,48.241470,46.653271,46.951057,46.951057,567314
2017-10-03,47.645893,48.439995,46.951057,47.248844,47.248844,368751
2017-10-04,47.447372,47.894051,46.405117,46.752537,46.752537,313575
2017-10-05,46.851795,47.993313,46.603642,46.951057,46.951057,560069
2017-10-06,47.000690,51.467491,47.000690,50.226715,50.226715,1391415
2017-10-09,50.871918,50.871918,48.539257,48.837044,48.837044,978142
2017-10-10,49.382984,51.318600,48.787411,49.829666,49.829666,1115564
2017-10-11,49.631142,51.219337,47.993313,48.390362,48.390362,1116948
2017-10-12,48.936306,49.531879,48.638519,48.837044,48.837044,411981
2017-10-13,49.333355,50.028191,47.943684,48.291100,48.291100,559716
2017-10-16,48.737782,49.035568,47.695526,47.943684,47.943684,339611
2017-10-17,47.844421,48.489624,47.199215,47.348106,47.348106,371094
2017-10-18,47.348106,47.894051,47.000690,47.248844,47.248844,378200
2017-10-19,47.596264,47.596264,46.752537,47.149586,47.149586,99464
2017-10-23,47.546635,49.035568,47.248844,48.042946,48.042946,440058
2017-10-24,47.894051,48.787411,47.645893,47.894051,47.894051,421438
2017-10-25,48.539257,49.432617,47.745155,48.241470,48.241470,327313
2017-10-26,47.546635,47.546635,46.156960,46.504379,46.504379,508003
2017-10-27,46.554008,47.000690,45.561386,45.908806,45.908806,436242
2017-10-30,46.603642,48.588886,46.057697,47.745155,47.745155,1104981
2017-10-31,47.950001,48.450001,46.900002,47.700001,47.700001,423063
2017-11-01,47.599998,48.750000,47.200001,47.349998,47.349998,322679
2017-11-02,47.400002,48.000000,47.150002,47.400002,47.400002,276229
2017-11-03,47.799999,48.400002,47.299999,47.400002,47.400002,375366
2017-11-06,48.150002,48.599998,47.599998,47.700001,47.700001,394372
2017-11-07,47.549999,50.200001,47.299999,48.099998,48.099998,1151362
2017-11-08,48.500000,49.700001,47.900002,48.200001,48.200001,729151
2017-11-09,48.700001,48.700001,47.299999,47.700001,47.700001,360378
2017-11-10,47.950001,48.400002,47.049999,47.299999,47.299999,472478
2017-11-13,47.750000,47.849998,46.599998,46.900002,46.900002,269281
2017-11-14,47.099998,47.500000,46.500000,46.700001,46.700001,352265
2017-11-15,46.650002,47.200001,46.150002,46.299999,46.299999,386138
2017-11-16,46.150002,47.400002,46.150002,46.799999,46.799999,307941
2017-11-17,47.250000,47.299999,46.500000,46.700001,46.700001,242740
2017-11-20,46.650002,47.299999,46.599998,46.900002,46.900002,307654
2017-11-21,47.150002,48.500000,47.000000,47.650002,47.650002,388578
2017-11-22,47.799999,48.099998,47.099998,47.299999,47.299999,221245
2017-11-23,47.299999,47.900002,47.049999,47.400002,47.400002,272233
2017-11-24,47.549999,49.000000,47.400002,48.450001,48.450001,656891
2017-11-27,48.799999,49.400002,48.049999,48.599998,48.599998,426874
2017-11-28,48.750000,49.200001,48.099998,48.549999,48.549999,594169
2017-11-29,48.950001,53.250000,48.750000,51.650002,51.650002,2677177
2017-11-30,51.000000,53.349998,50.900002,51.650002,51.650002,1387499
2017-12-01,52.450001,52.799999,49.799999,50.049999,50.049999,627978
2017-12-04,50.500000,52.799999,49.299999,52.150002,52.150002,1042437
2017-12-05,52.500000,54.200001,51.200001,52.799999,52.799999,1574184
2017-12-06,52.900002,54.299999,51.700001,51.900002,51.900002,1230000
2017-12-07,52.049999,53.049999,51.450001,51.799999,51.799999,847722
2017-12-08,52.299999,53.150002,50.500000,50.750000,50.750000,740503
2017-12-11,50.950001,51.349998,49.250000,49.599998,49.599998,560603
2017-12-12,49.400002,49.900002,48.549999,48.750000,48.750000,694296
2017-12-13,48.849998,49.450001,47.549999,47.849998,47.849998,1212176
2017-12-14,48.250000,48.250000,46.849998,47.450001,47.450001,429290
2017-12-15,48.099998,53.200001,47.750000,52.299999,52.299999,2455908
2017-12-18,51.049999,54.150002,49.099998,52.250000,52.250000,1634419
2017-12-19,52.900002,54.500000,52.099998,53.900002,53.900002,1514975
2017-12-20,54.099998,54.950001,52.750000,53.150002,53.150002,1040895
2017-12-21,53.299999,53.750000,52.099998,52.549999,52.549999,736915
2017-12-22,52.650002,55.799999,52.650002,54.599998,54.599998,2389132
2017-12-26,54.950001,58.500000,53.849998,57.700001,57.700001,3165032
2017-12-27,58.000000,59.000000,55.700001,56.500000,56.500000,2276675
2017-12-28,56.950001,58.599998,56.150002,57.650002,57.650002,1060316
2017-12-29,58.700001,59.450001,56.450001,58.000000,58.000000,1565348
2018-01-01,58.250000,61.849998,57.500000,59.950001,59.950001,2703253
2018-01-02,60.250000,61.200001,57.500000,58.799999,58.799999,1484881
2018-01-03,59.400002,61.049999,58.700001,59.650002,59.650002,1380680
2018-01-04,60.000000,60.700001,59.099998,59.349998,59.349998,783037
2018-01-05,59.700001,60.400002,58.099998,59.549999,59.549999,946325
2018-01-08,59.500000,63.349998,59.000000,62.950001,62.950001,2154622
2018-01-09,64.000000,64.750000,61.900002,62.599998,62.599998,3241923
2018-01-10,62.599998,63.400002,60.950001,62.400002,62.400002,1281284
2018-01-11,62.400002,63.400002,61.099998,61.299999,61.299999,741199
2018-01-12,61.799999,62.849998,59.599998,60.650002,60.650002,1004664
2018-01-15,61.299999,62.000000,60.150002,60.450001,60.450001,721287
2018-01-16,61.000000,61.400002,57.500000,58.900002,58.900002,1088291
2018-01-17,59.700001,59.700001,56.750000,58.400002,58.400002,690810
2018-01-18,59.549999,59.650002,54.849998,55.500000,55.500000,898157
2018-01-19,56.099998,58.700001,54.750000,58.450001,58.450001,1239488
2018-01-22,58.849998,59.750000,58.049999,59.099998,59.099998,947904
2018-01-23,59.150002,59.750000,57.250000,57.700001,57.700001,609829
2018-01-24,57.500000,61.650002,56.400002,58.750000,58.750000,1496169
2018-01-25,58.099998,59.400002,57.200001,57.599998,57.599998,444259
2018-01-29,58.000000,58.650002,55.000000,56.049999,56.049999,479109
2018-01-30,55.299999,56.250000,53.549999,53.950001,53.950001,493938
2018-01-31,53.049999,54.799999,53.049999,53.500000,53.500000,406416
2018-02-01,54.200001,58.000000,54.200001,56.900002,56.900002,922289
2018-02-02,55.799999,56.150002,53.099998,53.599998,53.599998,780303
2018-02-05,51.500000,55.349998,51.500000,54.549999,54.549999,548597
2018-02-06,51.500000,53.650002,51.000000,52.299999,52.299999,442296
2018-02-07,53.250000,54.750000,53.250000,54.250000,54.250000,530428
2018-02-08,54.099998,56.099998,54.099998,55.400002,55.400002,450985
2018-02-09,54.099998,57.950001,53.500000,57.599998,57.599998,561433
2018-02-12,58.000000,61.450001,57.700001,60.500000,60.500000,1012870
2018-02-14,61.000000,69.550003,60.200001,67.699997,67.699997,3814310
2018-02-15,68.250000,69.000000,64.099998,65.400002,65.400002,1866071
2018-02-16,66.000000,67.599998,62.250000,63.450001,63.450001,1168031
2018-02-19,63.950001,63.950001,59.799999,61.349998,61.349998,639969
2018-02-20,61.450001,62.500000,60.400002,60.900002,60.900002,566043
2018-02-21,61.599998,62.049999,59.450001,61.450001,61.450001,502277
2018-02-22,61.349998,63.549999,60.900002,62.349998,62.349998,930655
2018-02-23,62.549999,64.150002,62.450001,63.799999,63.799999,731234
2018-02-26,64.500000,64.650002,62.599998,62.950001,62.950001,446816
2018-02-27,63.250000,64.800003,62.549999,64.150002,64.150002,793768
2018-02-28,64.000000,65.750000,63.750000,64.000000,64.000000,787955
2018-03-01,64.199997,64.599998,61.950001,62.250000,62.250000,503662
2018-03-05,61.849998,61.849998,60.299999,60.599998,60.599998,445771
2018-03-06,60.950001,61.549999,56.750000,57.250000,57.250000,561931
2018-03-07,57.049999,57.750000,54.250000,54.599998,54.599998,907664
2018-03-08,55.950001,56.250000,53.349998,55.349998,55.349998,720820
2018-03-09,55.200001,56.099998,53.299999,53.549999,53.549999,476616
2018-03-12,54.599998,54.950001,53.099998,54.049999,54.049999,408870
2018-03-13,53.500000,56.549999,53.500000,54.799999,54.799999,954058
2018-03-14,54.500000,55.650002,54.099998,55.250000,55.250000,478943
2018-03-15,55.200001,58.799999,55.200001,57.799999,57.799999,1077599
2018-03-16,58.500000,59.150002,56.500000,57.250000,57.250000,1308068
2018-03-19,57.049999,57.150002,53.099998,53.549999,53.549999,633215
2018-03-20,53.400002,54.599998,52.549999,52.900002,52.900002,354919
2018-03-21,53.400002,54.650002,53.049999,53.549999,53.549999,346036
2018-03-22,53.900002,54.000000,51.599998,51.849998,51.849998,381819
2018-03-23,50.799999,50.799999,49.400002,49.849998,49.849998,692596
2018-03-26,50.150002,52.000000,49.799999,51.500000,51.500000,666969
2018-03-27,51.799999,53.200001,51.799999,52.299999,52.299999,210893
2018-03-28,52.000000,52.000000,50.400002,51.000000,51.000000,337022
2018-04-02,50.700001,53.799999,50.700001,53.250000,53.250000,624476
2018-04-03,52.750000,54.400002,52.200001,54.049999,54.049999,564179
